Designer,Work,Status,Date
ive,iPod,Placeholder_Used,2026-02-12 14:20
ive,iPad,Placeholder_Used,2026-02-12 14:20
ive,Apple Watch,Placeholder_Used,2026-02-12 14:20
ive,iMac Pro,Placeholder_Used,2026-02-12 14:20
ive,Mac Pro,Placeholder_Used,2026-02-12 14:20
ive,AirPods,Placeholder_Used,2026-02-12 14:20
ive,Apple Park,Placeholder_Used,2026-02-12 14:20
ive,iOS 7,Placeholder_Used,2026-02-12 14:20
ive,Power Mac G4 Cube,Placeholder_Used,2026-02-12 14:20
behrens,AEG Turbine Factory,Placeholder_Used,2026-02-12 14:20
behrens,AEG Kettle,Placeholder_Used,2026-02-12 14:20
behrens,AEG Logo,Placeholder_Used,2026-02-12 14:20
behrens,Typography,Placeholder_Used,2026-02-12 14:20
behrens,Posters,Placeholder_Used,2026-02-12 14:20
behrens,AEG Fan,Placeholder_Used,2026-02-12 14:20
behrens,AEG Clock,Placeholder_Used,2026-02-12 14:20
behrens,Peter Behrens House,Placeholder_Used,2026-02-12 14:20
behrens,Hoechst Administration Building,Placeholder_Used,2026-02-12 14:20
gropius,Portrait,Placeholder_Used,2026-02-12 14:20
gropius,Harvard Graduate Center,Placeholder_Used,2026-02-12 14:20
gropius,Gropius House,Placeholder_Used,2026-02-12 14:20
gropius,Bauhaus Manifesto,Placeholder_Used,2026-02-12 14:20
gropius,Fagus Factory,Placeholder_Used,2026-02-12 14:20
gropius,Pan Am Building,Placeholder_Used,2026-02-12 14:20
gropius,Bauhaus Archive,Placeholder_Used,2026-02-12 14:20
gropius,MetLife Building,Placeholder_Used,2026-02-12 14:20
gropius,Chicago Tribune Tower Entry,Placeholder_Used,2026-02-12 14:20
gropius,Total Theater,Placeholder_Used,2026-02-12 14:20
breuer,Whitney Museum,Placeholder_Used,2026-02-12 14:20
breuer,UNESCO Building,Placeholder_Used,2026-02-12 14:20
breuer,Breuer House,Placeholder_Used,2026-02-12 14:20
breuer,Cesca Chair,Placeholder_Used,2026-02-12 14:20
breuer,Wassily Chair,Placeholder_Used,2026-02-12 14:20
breuer,Laccio Table,Placeholder_Used,2026-02-12 14:20
breuer,Isokon Long Chair,Placeholder_Used,2026-02-12 14:20
breuer,Short Chair,Placeholder_Used,2026-02-12 14:20
breuer,Murray Lincoln Campus Center,Placeholder_Used,2026-02-12 14:20
breuer,St John's Abbey Church,Placeholder_Used,2026-02-12 14:20
eames,LCW,Placeholder_Used,2026-02-12 14:20
eames,Lounge Chair,Placeholder_Used,2026-02-12 14:20
eames,Molded Plastic Chair,Placeholder_Used,2026-02-12 14:20
eames,Eames House,Placeholder_Used,2026-02-12 14:20
eames,Hang-It-All,Placeholder_Used,2026-02-12 14:20
eames,Aluminum Group,Placeholder_Used,2026-02-12 14:20
eames,Wire Chair,Placeholder_Used,2026-02-12 14:20
eames,Eames Elephant,Placeholder_Used,2026-02-12 14:20
eames,La Chaise,Placeholder_Used,2026-02-12 14:20
eames,Powers of Ten,Placeholder_Used,2026-02-12 14:20
loewy,Studebaker Starliner,Placeholder_Used,2026-02-12 14:20
loewy,Coldspot Refrigerator,Placeholder_Used,2026-02-12 14:20
loewy,Greyhound Bus,Placeholder_Used,2026-02-12 14:20
loewy,Air Force One Livery,Placeholder_Used,2026-02-12 14:20
loewy,Coca-Cola Bottle,Placeholder_Used,2026-02-12 14:20
loewy,Shell Logo,Placeholder_Used,2026-02-12 14:20
loewy,Exxon Logo,Placeholder_Used,2026-02-12 14:20
loewy,Pennsylvania Railroad S1,Placeholder_Used,2026-02-12 14:20
loewy,Lucky Strike Package,Placeholder_Used,2026-02-12 14:20
loewy,Skylab,Placeholder_Used,2026-02-12 14:20
dreyfuss,Portrait,Placeholder_Used,2026-02-12 14:20
dreyfuss,20th Century Limited Train,Placeholder_Used,2026-02-12 14:20
dreyfuss,Princess Telephone,Placeholder_Used,2026-02-12 14:20
dreyfuss,Honeywell Thermostat,Placeholder_Used,2026-02-12 14:20
dreyfuss,John Deere Tractor,Placeholder_Used,2026-02-12 14:20
dreyfuss,Big Ben Clock,Placeholder_Used,2026-02-12 14:20
dreyfuss,Trimline Phone,Placeholder_Used,2026-02-12 14:20
dreyfuss,Western Electric 302,Placeholder_Used,2026-02-12 14:20
dreyfuss,Polaroid SX-70,Placeholder_Used,2026-02-12 14:20
dreyfuss,Humanscale,Placeholder_Used,2026-02-12 14:20
jacobsen,Egg Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Swan Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Series 7 Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Ant Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,SAS Royal Hotel,Placeholder_Used,2026-02-12 14:20
jacobsen,AJ Lamp,Placeholder_Used,2026-02-12 14:20
jacobsen,Cylinda Line,Placeholder_Used,2026-02-12 14:20
jacobsen,Oxford Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Drop Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Grand Prix Chair,Placeholder_Used,2026-02-12 14:20
bill,Kitchen Clock,Placeholder_Used,2026-02-12 14:20
bill,Pavilion Sculpture,Placeholder_Used,2026-02-12 14:20
bill,Typography,Placeholder_Used,2026-02-12 14:20
bill,Ulm School,Placeholder_Used,2026-02-12 14:20
bill,Triangular Structure,Placeholder_Used,2026-02-12 14:20
bill,Endless Ribbon,Placeholder_Used,2026-02-12 14:20
bill,Stackable Chair,Placeholder_Used,2026-02-12 14:20
bill,Sun Lamp,Placeholder_Used,2026-02-12 14:20
bill,Junghans Wall Clock,Placeholder_Used,2026-02-12 14:20
bill,Ulm Stool,Placeholder_Used,2026-02-12 14:20
wagenfeld,Portrait,Placeholder_Used,2026-02-12 14:20
wagenfeld,Bauhaus Lamp,Placeholder_Used,2026-02-12 14:20
wagenfeld,Kubus,Placeholder_Used,2026-02-12 14:20
wagenfeld,WMF Ash Tray,Placeholder_Used,2026-02-12 14:20
wagenfeld,Salt and Pepper Shakers,Placeholder_Used,2026-02-12 14:20
wagenfeld,Tea Service,Placeholder_Used,2026-02-12 14:20
wagenfeld,Egg Coddler,Placeholder_Used,2026-02-12 14:20
wagenfeld,Max and Moritz,Placeholder_Used,2026-02-12 14:20
wagenfeld,Wagenfeld Teapot,Placeholder_Used,2026-02-12 14:20
wagenfeld,Glassware,Placeholder_Used,2026-02-12 14:20
brandt,Portrait,Placeholder_Used,2026-02-12 14:20
brandt,Tea Infuser,Placeholder_Used,2026-02-12 14:20
brandt,Kandem Lamp,Placeholder_Used,2026-02-12 14:20
brandt,Ashtray,Placeholder_Used,2026-02-12 14:20
brandt,Bauhaus Metalwork,Placeholder_Used,2026-02-12 14:20
brandt,Coffee and Tea Set,Placeholder_Used,2026-02-12 14:20
brandt,Ceiling Lamp,Placeholder_Used,2026-02-12 14:20
brandt,Desk Lamp,Placeholder_Used,2026-02-12 14:20
brandt,Bowl,Placeholder_Used,2026-02-12 14:20
brandt,Geometric Teapot,Placeholder_Used,2026-02-12 14:20
sottsass,Valentine Typewriter,Placeholder_Used,2026-02-12 14:22
sottsass,Olivetti computers,Placeholder_Used,2026-02-12 14:22
sottsass,Memphis furniture,Placeholder_Used,2026-02-12 14:22
sottsass,Tahiti Lamp,Placeholder_Used,2026-02-12 14:22
sottsass,Shiva Vase,Placeholder_Used,2026-02-12 14:22
sottsass,Ultrafragola Mirror,Placeholder_Used,2026-02-12 14:22
sottsass,Elea 9003,Placeholder_Used,2026-02-12 14:22
sottsass,Mallet-Stevens,Placeholder_Used,2026-02-12 14:22
sottsass,Carlton Bookshelf,Placeholder_Used,2026-02-12 14:22
sottsass,Casablanca Sideboard,Placeholder_Used,2026-02-12 14:22
castiglioni,Portrait,Placeholder_Used,2026-02-12 14:22
castiglioni,Arco Lamp,Placeholder_Used,2026-02-12 14:22
castiglioni,Mezzadro Stool,Placeholder_Used,2026-02-12 14:22
castiglioni,Snoopy Lamp,Placeholder_Used,2026-02-12 14:22
castiglioni,Taccia Lamp,Placeholder_Used,2026-02-12 14:22
castiglioni,Sella Stool,Placeholder_Used,2026-02-12 14:22
castiglioni,Toio Lamp,Placeholder_Used,2026-02-12 14:22
castiglioni,Parentesi Lamp,Placeholder_Used,2026-02-12 14:22
castiglioni,RR126 Stereo,Placeholder_Used,2026-02-12 14:22
castiglioni,Luminator,Placeholder_Used,2026-02-12 14:22
ponti,Portrait,Placeholder_Used,2026-02-12 14:22
ponti,Superleggera Chair,Placeholder_Used,2026-02-12 14:22
ponti,Pirelli Tower,Placeholder_Used,2026-02-12 14:22
ponti,Espresso machine,Placeholder_Used,2026-02-12 14:22
ponti,Parco dei Principi,Placeholder_Used,2026-02-12 14:22
ponti,Villa Planchart,Placeholder_Used,2026-02-12 14:22
ponti,Distex Chair,Placeholder_Used,2026-02-12 14:22
ponti,Fato Lamp,Placeholder_Used,2026-02-12 14:22
ponti,Bilia Lamp,Placeholder_Used,2026-02-12 14:22
ponti,Denver Art Museum,Placeholder_Used,2026-02-12 14:22
sapper,Portrait,Placeholder_Used,2026-02-12 14:22
sapper,Tizio Lamp,Placeholder_Used,2026-02-12 14:22
sapper,IBM ThinkPad,Placeholder_Used,2026-02-12 14:22
sapper,Alessi Kettle,Placeholder_Used,2026-02-12 14:22
sapper,9090 Espresso Maker,Placeholder_Used,2026-02-12 14:22
sapper,Boll̩,Placeholder_Used,2026-02-12 14:22
sapper,Coban Espresso Machine,Placeholder_Used,2026-02-12 14:22
sapper,TS 502 Radio,Placeholder_Used,2026-02-12 14:22
sapper,Grillo Telephone,Placeholder_Used,2026-02-12 14:22
sapper,Halley Lamp,Placeholder_Used,2026-02-12 14:22
nizzoli,Portrait,Placeholder_Used,2026-02-12 14:22
nizzoli,Olivetti Lettera 22,Placeholder_Used,2026-02-12 14:22
nizzoli,Mirella Sewing Machine,Placeholder_Used,2026-02-12 14:22
nizzoli,Necchi sewing machines,Placeholder_Used,2026-02-12 14:22
nizzoli,Olivetti Divisumma 24,Placeholder_Used,2026-02-12 14:22
nizzoli,Lexikon 80,Placeholder_Used,2026-02-12 14:22
nizzoli,Diaspron 82,Placeholder_Used,2026-02-12 14:22
nizzoli,Aurora 88 Pen,Placeholder_Used,2026-02-12 14:22
nizzoli,Campari Soda Bottle,Placeholder_Used,2026-02-12 14:22
gandini,Portrait,Placeholder_Used,2026-02-12 14:22
gandini,Lamborghini Countach,Placeholder_Used,2026-02-12 14:22
gandini,Miura,Placeholder_Used,2026-02-12 14:22
gandini,Lancia Stratos,Placeholder_Used,2026-02-12 14:22
gandini,Alfa Romeo Montreal,Placeholder_Used,2026-02-12 14:22
gandini,Bugatti EB110,Placeholder_Used,2026-02-12 14:22
gandini,Citroen BX,Placeholder_Used,2026-02-12 14:22
gandini,Renault 5 Turbo,Placeholder_Used,2026-02-12 14:22
gandini,Maserati Khamsin,Placeholder_Used,2026-02-12 14:22
gandini,Fiat X1/9,Placeholder_Used,2026-02-12 14:22
giugiaro,Portrait,Placeholder_Used,2026-02-12 14:22
giugiaro,VW Golf Mk1,Placeholder_Used,2026-02-12 14:22
giugiaro,Lotus Esprit,Placeholder_Used,2026-02-12 14:22
giugiaro,DeLorean DMC-12,Placeholder_Used,2026-02-12 14:22
giugiaro,Nikon F3,Placeholder_Used,2026-02-12 14:22
giugiaro,Fiat Panda,Placeholder_Used,2026-02-12 14:22
giugiaro,BMW M1,Placeholder_Used,2026-02-12 14:22
giugiaro,Audi 80,Placeholder_Used,2026-02-12 14:22
giugiaro,Lexus GS,Placeholder_Used,2026-02-12 14:22
giugiaro,Alfa Romeo Brera,Placeholder_Used,2026-02-12 14:22
pininfarina,Portrait,Placeholder_Used,2026-02-12 14:22
pininfarina,Ferrari 250 GT,Placeholder_Used,2026-02-12 14:22
pininfarina,Ferrari Testarossa,Placeholder_Used,2026-02-12 14:22
pininfarina,Ferrari F40,Placeholder_Used,2026-02-12 14:22
pininfarina,Alfa Romeo Spider,Placeholder_Used,2026-02-12 14:22
pininfarina,Maserati Quattroporte,Placeholder_Used,2026-02-12 14:22
pininfarina,Peugeot 406 Coup̩,Placeholder_Used,2026-02-12 14:22
pininfarina,Bentley Azure,Placeholder_Used,2026-02-12 14:22
pininfarina,Fiat 124 Spider,Placeholder_Used,2026-02-12 14:22
pininfarina,Ferrari Enzo,Placeholder_Used,2026-02-12 14:22
earl,Portrait,Placeholder_Used,2026-02-12 14:22
earl,Cadillac Eldorado,Placeholder_Used,2026-02-12 14:22
earl,Corvette C1,Placeholder_Used,2026-02-12 14:22
earl,GM Motorama,Placeholder_Used,2026-02-12 14:22
earl,Buick Y-Job,Placeholder_Used,2026-02-12 14:22
earl,LaSalle Series 303,Placeholder_Used,2026-02-12 14:22
earl,Firebird I,Placeholder_Used,2026-02-12 14:22
earl,Pontiac Club de Mer,Placeholder_Used,2026-02-12 14:22
earl,Oldsmobile Golden Rocket,Placeholder_Used,2026-02-12 14:22
earl,Tailfins,Placeholder_Used,2026-02-12 14:22
dyson,Portrait,Placeholder_Used,2026-02-12 14:22
dyson,DC01 Vacuum,Placeholder_Used,2026-02-12 14:22
dyson,Airblade,Placeholder_Used,2026-02-12 14:22
dyson,Bladeless Fan,Placeholder_Used,2026-02-12 14:22
dyson,Supersonic Hair Dryer,Placeholder_Used,2026-02-12 14:22
dyson,Corrale Straightener,Placeholder_Used,2026-02-12 14:22
dyson,360 Heurist,Placeholder_Used,2026-02-12 14:22
dyson,CSYS Light,Placeholder_Used,2026-02-12 14:22
dyson,Ballbarrow,Placeholder_Used,2026-02-12 14:22
dyson,G-Force,Placeholder_Used,2026-02-12 14:22
newson,Portrait,Placeholder_Used,2026-02-12 14:22
newson,Lockheed Lounge,Placeholder_Used,2026-02-12 14:22
newson,Apple Watch,Placeholder_Used,2026-02-12 14:22
newson,Qantas A380 Interiors,Placeholder_Used,2026-02-12 14:22
newson,Embryo Chair,Placeholder_Used,2026-02-12 14:22
newson,Ikepod,Placeholder_Used,2026-02-12 14:22
newson,Ford 021C,Placeholder_Used,2026-02-12 14:22
newson,Pentax K-01,Placeholder_Used,2026-02-12 14:22
newson,Louis Vuitton Luggage,Placeholder_Used,2026-02-12 14:22
newson,Jaeger-LeCoultre Atmos,Placeholder_Used,2026-02-12 14:22
fukasawa,Portrait,Placeholder_Used,2026-02-12 14:22
fukasawa,MUJI CD Player,Placeholder_Used,2026-02-12 14:22
fukasawa,Plus Minus Zero Humidifier,Placeholder_Used,2026-02-12 14:22
fukasawa,Infobar Phone,Placeholder_Used,2026-02-12 14:22
fukasawa,Hiroshima Chair,Placeholder_Used,2026-02-12 14:22
fukasawa,MUJI Rice Cooker,Placeholder_Used,2026-02-12 14:22
fukasawa,TG Cup,Placeholder_Used,2026-02-12 14:22
fukasawa,Neon Generic,Placeholder_Used,2026-02-12 14:22
fukasawa,Samsung Netbook,Placeholder_Used,2026-02-12 14:22
fukasawa,Lamy Noto,Placeholder_Used,2026-02-12 14:22
rashid,Portrait,Placeholder_Used,2026-02-12 14:22
rashid,Garbo Trash Can,Placeholder_Used,2026-02-12 14:22
rashid,Oh Chair,Placeholder_Used,2026-02-12 14:22
rashid,Bobble Water Bottle,Placeholder_Used,2026-02-12 14:22
rashid,Kloud Sofa,Placeholder_Used,2026-02-12 14:22
rashid,Vertex Chair,Placeholder_Used,2026-02-12 14:22
rashid,Nook Chair,Placeholder_Used,2026-02-12 14:22
rashid,Ottawa Sofa,Placeholder_Used,2026-02-12 14:22
rashid,Kenzo Amour Bottle,Placeholder_Used,2026-02-12 14:22
rashid,Voxel Chair,Placeholder_Used,2026-02-12 14:22
starck,Portrait,Placeholder_Used,2026-02-12 14:22
starck,Juicy Salif,Placeholder_Used,2026-02-12 14:22
starck,Louis Ghost Chair,Placeholder_Used,2026-02-12 14:22
starck,Alessi Hot Bertaa,Placeholder_Used,2026-02-12 14:22
starck,Gun Lamp,Placeholder_Used,2026-02-12 14:22
starck,Bubble Club Sofa,Placeholder_Used,2026-02-12 14:22
starck,Costes Chair,Placeholder_Used,2026-02-12 14:22
starck,Moto 6.5,Placeholder_Used,2026-02-12 14:22
starck,Steve Jobs Yacht,Placeholder_Used,2026-02-12 14:22
starck,Asahi Beer Hall,Placeholder_Used,2026-02-12 14:22
nelson,Portrait,Placeholder_Used,2026-02-12 14:22
nelson,Ball Clock,Placeholder_Used,2026-02-12 14:22
nelson,Marshmallow Sofa,Placeholder_Used,2026-02-12 14:22
nelson,Platform Bench,Placeholder_Used,2026-02-12 14:22
nelson,Coconut Chair,Placeholder_Used,2026-02-12 14:22
nelson,Bubble Lamp,Placeholder_Used,2026-02-12 14:22
nelson,Swag Leg Desk,Placeholder_Used,2026-02-12 14:22
nelson,Action Office,Placeholder_Used,2026-02-12 14:22
nelson,Pretzel Chair,Placeholder_Used,2026-02-12 14:22
nelson,Sling Sofa,Placeholder_Used,2026-02-12 14:22
aalto,Portrait,Placeholder_Used,2026-02-12 14:22
aalto,Paimio Chair,Placeholder_Used,2026-02-12 14:22
aalto,Savoy Vase,Placeholder_Used,2026-02-12 14:22
aalto,Finlandia Hall,Placeholder_Used,2026-02-12 14:22
aalto,Stool 60,Placeholder_Used,2026-02-12 14:22
aalto,Tea Trolley 900,Placeholder_Used,2026-02-12 14:22
aalto,Beehive Lamp,Placeholder_Used,2026-02-12 14:22
aalto,Viipuri Library,Placeholder_Used,2026-02-12 14:22
aalto,Baker House,Placeholder_Used,2026-02-12 14:22
aalto,Aalto House,Placeholder_Used,2026-02-12 14:22
bellini,Portrait,Placeholder_Used,2026-02-12 14:22
bellini,Camaleonda Sofa,Placeholder_Used,2026-02-12 14:22
bellini,Divisumma 18,Placeholder_Used,2026-02-12 14:22
bellini,Olivetti Lettera 35,Placeholder_Used,2026-02-12 14:22
bellini,Cab Chair,Placeholder_Used,2026-02-12 14:22
bellini,Kar-a-Sutra,Placeholder_Used,2026-02-12 14:22
bellini,Yamaha Tape Deck,Placeholder_Used,2026-02-12 14:22
bellini,Le Bambole,Placeholder_Used,2026-02-12 14:22
bellini,Rosenthal Cup,Placeholder_Used,2026-02-12 14:22
bellini,Bellini Chair,Placeholder_Used,2026-02-12 14:22
